Game#,Date,Home Team,Away Team,Home Score,Away Score,N/CT/NT,Winning Team,Losing Team,Margin
35,210,Utah Valley,Montana,21,6,,Utah Valley,Montana,15
36,210,Mississippi,Georgia Tech,5,18,,Georgia Tech,Mississippi,13
37,210,South Florida,Clemson,7,16,N,Clemson,South Florida,9
38,210,Georgia,Kennesaw State,10,6,,Georgia,Kennesaw State,4
39,210,Texas Tech,Arkansas,8,11,,Arkansas,Texas Tech,3
40,210,Vanderbilt,Missouri,8,5,,Vanderbilt,Missouri,3
41,210,Louisiana State,Florida,8,10,,Florida,Louisiana State,2
42,210,Arizona State,Florida State,5,6,,Florida State,Arizona State,1
43,210,Utah State,Montana,12,11,,Utah State,Montana,1
44,211,Tennessee,South Carolina,2,23,,South Carolina,Tennessee,21
45,211,Oklahoma,Nebraska,23,6,,Oklahoma,Nebraska,17
46,211,Minnesota,Western Michigan,23,8,N,Minnesota,Western Michigan,15
47,211,Loyola Marymount,Santa Clara,3,18,N,Santa Clara,Loyola Marymount,15
48,211,Nebraska,Arkansas,6,19,N,Arkansas,Nebraska,13
49,211,Illinois,Southern Illinois,16,3,N,Illinois,Southern Illinois,13
50,211,Texas Tech,TCU,6,16,,TCU,Texas Tech,10
51,211,UNLV,UCLA,15,6,,UNLV,UCLA,9
52,211,USC,Cal Poly,2,11,,Cal Poly,USC,9
53,211,Iowa State,Western Michigan,10,19,N,Western Michigan,Iowa State,9
54,211,Miami (FL),Clemson,6,14,,Clemson,Miami (FL),8
55,211,California,UC Santa Barbara,13,5,,California,UC Santa Barbara,8
56,211,Miami (OH),Illinois State,10,4,,Miami (OH),Illinois State,6
57,211,Trinity (TX),North Texas,9,15,,North Texas,Trinity (TX),6
58,211,Georgia,Georgia Southern,10,4,,Georgia,Georgia Southern,6
59,211,Dominican U.,Oregon State,5,10,,Oregon State,Dominican U.,5
60,211,Georgia Tech,SMU,14,9,N,Georgia Tech,SMU,5
61,211,Sonoma State,Washington,15,10,,Sonoma State,Washington,5
62,211,San Diego State,Chapman,12,15,,Chapman,San Diego State,3
63,211,Florida,Alabama,11,9,N,Florida,Alabama,2
64,211,Vanderbilt,Auburn,9,11,,Auburn,Vanderbilt,2
65,211,Texas A&M,Texas,9,11,,Texas,Texas A&M,2
66,211,Arizona,Florida State,7,9,,Florida State,Arizona,2
67,211,Missouri,Auburn,7,8,N,Auburn,Missouri,1
68,211,Minnesota St. Mankato,Iowa State,9,10,N,Iowa State,Minnesota St. Mankato,1
69,212,Chico State,Nevada,6,16,,Nevada,Chico State,10
70,212,Oklahoma,Arkansas,18,9,,Oklahoma,Arkansas,9
71,212,Minnesota,Minnesota-Duluth,10,4,,Minnesota,Minnesota-Duluth,6
72,212,North Carolina State,Wake Forest,13,7,,North Carolina State,Wake Forest,6
73,212,Texas San Antonio,North Texas,3,8,,North Texas,Texas San Antonio,5
74,212,Louisiana State,Alabama,11,8,,Louisiana State,Alabama,3
75,212,Claremont,CSU Long Beach,16,14,,Claremont,CSU Long Beach,2
76,212,Stanford,UC Santa Barbara,6,8,,UC Santa Barbara,Stanford,2
77,212,Sonoma State,Oregon State,7,9,,Oregon State,Sonoma State,2
78,212,Mississippi,SMU,8,9,,SMU,Mississippi,1
79,212,Dominican U.,Washington,11,12,,Washington,Dominican U.,1
80,212,USC,Santa Clara,8,9,N,Santa Clara,USC,1
81,214,Nevada,Simon Fraser,12,19,,Simon Fraser,Nevada,7
82,216,Chapman,Utah,9,12,,Utah,Chapman,3
83,216,Utah Valley,Boise State,8,11,,Boise State,Utah Valley,3
84,216,Cal Poly,Simon Fraser,5,3,,Cal Poly,Simon Fraser,2
85,217,North Carolina State,West Virginia,18,3,,North Carolina State,West Virginia,15
86,217,Pittsburgh,George Washington,20,5,,Pittsburgh,George Washington,15
87,217,Central Michigan,Davenport,9,21,,Davenport,Central Michigan,12
88,217,Vanderbilt,Mississippi,4,12,,Mississippi,Vanderbilt,8
89,217,Creighton,Kansas State,12,5,,Creighton,Kansas State,7
90,217,Auburn,Florida State,5,11,,Florida State,Auburn,6
91,217,Santa Clara,Gonzaga,20,14,,Santa Clara,Gonzaga,6
92,217,Missouri,Iowa State,13,9,,Missouri,Iowa State,4
93,217,San Diego State,Oregon,7,9,,Oregon,San Diego State,2
94,218,Tulsa,Kansas,1,24,,Kansas,Tulsa,23
95,218,Claremont,Marymount California,21,3,,Claremont,Marymount California,18
96,218,Arkansas,Oklahoma State,24,6,,Arkansas,Oklahoma State,18
97,218,Loyola Marymount,CSU Long Beach,1,18,,CSU Long Beach,Loyola Marymount,17
98,218,Brigham Young,Boise State,19,3,,Brigham Young,Boise State,16
99,218,Liberty,East Carolina,16,4,,Liberty,East Carolina,12
100,218,Notre Dame de Namur,Simon Fraser,6,17,,Simon Fraser,Notre Dame de Namur,11
101,218,Washington-St. Louis,Missouri,6,17,,Missouri,Washington-St. Louis,11
102,218,Florida,South Florida,19,9,,Florida,South Florida,10
103,218,Pacific Lutheran,Washington State,5,14,,Washington State,Pacific Lutheran,9
104,218,Colorado,Dominican U.,22,13,,Colorado,Dominican U.,9
105,218,Utah,Washington,18,10,N,Utah,Washington,8
106,218,USC,California,5,13,N,California,USC,8
107,218,Tarleton State,North Texas,9,16,,North Texas,Tarleton State,7
108,218,Tennessee,Kennesaw State,4,11,,Kennesaw State,Tennessee,7
109,218,UCLA,Stanford,4,11,,Stanford,UCLA,7
110,218,Elon,West Virginia,13,6,,Elon,West Virginia,7
111,218,Central Michigan,Illinois,7,13,,Illinois,Central Michigan,6
112,218,Virginia Tech,Mississippi,9,3,N,Virginia Tech,Mississippi,6
113,218,George Washington,Indiana,5,11,N,Indiana,George Washington,6
114,218,Texas,SMU,10,5,,Texas,SMU,5
115,218,Texas Dallas,Oakland,8,3,,Texas Dallas,Oakland,5
116,218,Arizona,Oregon State,6,9,N,Oregon State,Arizona,3
117,218,TCU,Texas A&M,10,7,,TCU,Texas A&M,3
118,218,Nebraska,Kansas State,10,8,,Nebraska,Kansas State,2
119,218,Texas Tech,Texas San Antonio,9,7,N,Texas Tech,Texas San Antonio,2
120,218,Louisiana State,Oklahoma,9,11,N,Oklahoma,Louisiana State,2
121,218,Cal Poly,UC Santa Barbara,4,3,,Cal Poly,UC Santa Barbara,1
122,218,Florida Gulf Coast,Miami (FL),8,7,,Florida Gulf Coast,Miami (FL),1
123,218,Georgia Tech,Arizona State,7,6,,Georgia Tech,Arizona State,1
124,218,Nevada,UNLV,12,13,N,UNLV,Nevada,1
125,218,Alabama,Florida State,8,9,,Florida State,Alabama,1
126,218,Central Florida,North Florida,10,9,N,Central Florida,North Florida,1
127,219,Tulsa,Arkansas,3,17,,Arkansas,Tulsa,14
128,219,Vanderbilt,Virginia Tech,4,16,,Virginia Tech,Vanderbilt,12
129,219,UCLA,Oregon State,2,14,,Oregon State,UCLA,12
130,219,Miami (OH),Cleveland State Club,13,1,,Miami (OH),Cleveland State Club,12
131,219,Bridgeport,Rhode Island,2,14,,Rhode Island,Bridgeport,12
132,219,UC Irvine,Claremont,3,14,,Claremont,UC Irvine,11
133,219,Colorado State,Dominican U.,18,7,,Colorado State,Dominican U.,11
134,219,Texas A&M,Texas Tech,15,5,N,Texas A&M,Texas Tech,10
135,219,Wake Forest,West Virginia,12,2,,Wake Forest,West Virginia,10
136,219,California,Washington,13,4,N,California,Washington,9
137,219,Oklahoma,Kansas,17,10,,Oklahoma,Kansas,7
138,219,Miami (OH),Kentucky,11,6,,Miami (OH),Kentucky,5
139,219,Georgia,Arizona State,7,12,,Arizona State,Georgia,5
140,219,East Carolina,Elon,7,12,,Elon,East Carolina,5
141,219,USC,San Diego State,13,17,,San Diego State,USC,4
142,219,Auburn,Clemson,7,11,N,Clemson,Auburn,4
143,219,Pittsburgh,Indiana,12,8,,Pittsburgh,Indiana,4
144,219,Chapman,Oregon,5,8,,Oregon,Chapman,3
145,219,TCU,Louisiana State,3,6,,Louisiana State,TCU,3
146,219,Central Michigan,Siena Heights,12,10,,Central Michigan,Siena Heights,2
147,219,Stanford,Arizona,6,7,N,Arizona,Stanford,1
148,219,Portland,Washington State,12,13,,Washington State,Portland,1
149,219,North Texas,Oakland,6,7,,Oakland,North Texas,1
150,220,Sonoma State,Santa Clara,13,5,,Sonoma State,Santa Clara,8
151,220,UNLV,Utah,11,15,,Utah,UNLV,4
152,223,Grand Canyon,Colorado,14,11,,Grand Canyon,Colorado,3
153,223,Arizona State,Colorado State,8,9,,Colorado State,Arizona State,1
154,224,SMU,Missouri,13,6,,SMU,Missouri,7
155,224,Texas A&M,Florida,8,14,,Florida,Texas A&M,6
156,224,Sonoma State,Nevada,14,9,N,Sonoma State,Nevada,5
157,224,Utah State,Montana State,14,19,,Montana State,Utah State,5
158,224,Nebraska,Iowa State,7,12,,Iowa State,Nebraska,5
159,224,UNLV,Brigham Young,8,6,,UNLV,Brigham Young,2
160,224,Illinois,Illinois State,8,6,,Illinois,Illinois State,2
161,224,South Carolina,Virginia Tech,10,8,,South Carolina,Virginia Tech,2
162,224,Michigan State,Minnesota,10,9,N,Michigan State,Minnesota,1
163,224,Clemson,North Carolina State,10,9,,Clemson,North Carolina State,1
164,225,Kansas State,Kansas,2,28,,Kansas,Kansas State,26
165,225,Houston,Florida,4,20,N,Florida,Houston,16
166,225,Oakland,Minnesota,9,25,N,Minnesota,Oakland,16
167,225,Loyola Marymount,UC Santa Barbara,0,15,,UC Santa Barbara,Loyola Marymount,15
168,225,East Carolina,Virginia Tech,3,17,N,Virginia Tech,East Carolina,14
169,225,Central Michigan,Pittsburgh,7,18,,Pittsburgh,Central Michigan,11
170,225,Alabama,Georgia Tech,4,14,,Georgia Tech,Alabama,10
171,225,Michigan State,Indiana,16,6,N,Michigan State,Indiana,10
172,225,Oregon State,Washington,16,7,,Oregon State,Washington,9
173,225,Dominican U.,Oregon,10,18,,Oregon,Dominican U.,8
174,225,Texas State,Missouri,16,8,,Texas State,Missouri,8
175,225,North Carolina State,Purdue,14,6,N,North Carolina State,Purdue,8
176,225,California,Chapman,12,5,,California,Chapman,7
177,225,Mississippi,Georgia,7,14,,Georgia,Mississippi,7
178,225,Claremont,Biola,22,16,,Claremont,Biola,6
179,225,San Diego State,UCLA,14,8,,San Diego State,UCLA,6
180,225,TCU,Texas,5,10,,Texas,TCU,5
181,225,Arizona State,Colorado,11,7,,Arizona State,Colorado,4
182,225,UC Davis,Chico State,4,7,,Chico State,UC Davis,3
183,225,Oklahoma,Elon,8,6,N,Oklahoma,Elon,2
184,225,George Washington,Rhode Island,7,5,,George Washington,Rhode Island,2
185,225,Santa Clara,Notre Dame de Namur,8,6,,Santa Clara,Notre Dame de Namur,2
186,225,Grand Canyon,Colorado State,7,6,,Grand Canyon,Colorado State,1
187,225,USC,San Diego,10,9,,USC,San Diego,1
188,225,Iowa State,Minnesota St. Mankato,10,9,N,Iowa State,Minnesota St. Mankato,1
189,225,Washington State,Central Washington,5,6,,Central Washington,Washington State,1
190,225,Cal Poly,Brigham Young,5,6,N,Brigham Young,Cal Poly,1
191,226,Texas Tech,Oklahoma,6,24,,Oklahoma,Texas Tech,18
192,226,Texas A&M,Houston,18,3,,Texas A&M,Houston,15
193,226,Indiana,Minnesota,1,14,N,Minnesota,Indiana,13
194,226,Clemson,Purdue,18,6,,Clemson,Purdue,12
195,226,South Carolina,East Carolina,20,8,,South Carolina,East Carolina,12
196,226,Miami (FL),Florida State,5,16,,Florida State,Miami (FL),11
197,226,Kansas,Illinois State,15,5,,Kansas,Illinois State,10
198,226,UC Irvine,UCLA,2,12,,UCLA,UC Irvine,10
199,226,Stanford,Chapman,7,17,,Chapman,Stanford,10
200,226,Washington State,Puget Sound,12,4,,Washington State,Puget Sound,8
201,226,Sonoma State,Oregon,1,9,,Oregon,Sonoma State,8
202,226,UNLV,Cal Poly,9,16,,Cal Poly,UNLV,7
203,226,TCU,Elon,4,9,,Elon,TCU,5
204,226,North Florida,South Florida,10,5,,North Florida,South Florida,5
205,226,Nebraska,Minnesota St. Mankato,5,9,,Minnesota St. Mankato,Nebraska,4
206,226,Texas,Missouri,10,6,,Texas,Missouri,4
207,226,Arkansas,North Texas,14,12,,Arkansas,North Texas,2
208,226,Western Michigan,Pittsburgh,10,12,N,Pittsburgh,Western Michigan,2
209,227,Michigan State,Liberty,8,4,N,Michigan State,Liberty,4
210,228,Grand Valley State,Davenport,9,10,,Davenport,Grand Valley State,1
211,303,Colorado State,Texas A&M,18,1,,Colorado State,Texas A&M,17
212,303,Nebraska,Illinois State,3,12,,Illinois State,Nebraska,9
213,303,Clemson,Alabama,13,6,,Clemson,Alabama,7
214,303,Louisiana State,Texas,3,9,,Texas,Louisiana State,6
215,303,Colorado,Minnesota,18,12,,Colorado,Minnesota,6
216,303,San Diego State,Utah Valley,12,7,N,San Diego State,Utah Valley,5
217,303,East Carolina,Miami (FL),8,13,,Miami (FL),East Carolina,5
218,303,Arkansas,TCU,10,15,,TCU,Arkansas,5
219,303,Vanderbilt,Reinhardt,8,13,,Reinhardt,Vanderbilt,5
220,303,Stanford,Dominican U.,15,10,,Stanford,Dominican U.,5
221,303,Purdue,Oakland,8,5,N,Purdue,Oakland,3
222,304,Illinois State,Johnson & Wales (CO),18,0,N,Illinois State,Johnson & Wales (CO),18
223,304,Idaho,Washington,3,18,,Washington,Idaho,15
224,304,Houston,Texas State,3,17,,Texas State,Houston,14
225,304,Liberty,Tennessee,18,4,,Liberty,Tennessee,14
226,304,Colorado,Texas A&M,20,6,,Colorado,Texas A&M,14
227,304,Arkansas,SMU,3,16,,SMU,Arkansas,13
228,304,California,Sonoma State,18,8,,California,Sonoma State,10
229,304,Claremont,UC Santa Barbara,3,12,,UC Santa Barbara,Claremont,9
230,304,USC,Utah Valley,12,6,N,USC,Utah Valley,6
231,304,Missouri,Illinois,16,10,,Missouri,Illinois,6
232,304,Texas,Mississippi,11,6,N,Texas,Mississippi,5
233,304,North Texas,Texas Tech,9,4,,North Texas,Texas Tech,5
234,304,Boise State,Oregon,12,8,,Boise State,Oregon,4
235,304,Indiana,Miami (OH),11,7,,Indiana,Miami (OH),4
236,304,Florida State,Michigan State,7,4,N,Florida State,Michigan State,3
237,304,San Diego State,Oregon State,9,6,N,San Diego State,Oregon State,3
238,304,Arizona State,Brigham Young,6,9,,Brigham Young,Arizona State,3
239,304,Cal Poly,Sierra Nevada,6,4,,Cal Poly,Sierra Nevada,2
240,304,TCU,Kansas,12,11,N,TCU,Kansas,1
241,304,Alabama,George Washington,6,7,N,George Washington,Alabama,1
242,304,Grand Canyon,Virginia Tech,6,5,,Grand Canyon,Virginia Tech,1
243,305,Chapman,UCLA,18,2,,Chapman,UCLA,16
244,305,Nebraska,Johnson & Wales (CO),15,1,,Nebraska,Johnson & Wales (CO),14
245,305,Kansas State,Illinois,7,21,,Illinois,Kansas State,14
246,305,USC,Oregon State,10,20,N,Oregon State,USC,10
247,305,Clemson,George Washington,12,4,,Clemson,George Washington,8
248,305,Chico State,Stanford,2,10,,Stanford,Chico State,8
249,305,Georgia Tech,Michigan State,15,8,,Georgia Tech,Michigan State,7
250,305,Louisiana State,Mississippi,16,9,,Louisiana State,Mississippi,7
251,305,Arkansas,Kansas,7,13,,Kansas,Arkansas,6
252,305,Oklahoma,SMU,8,3,,Oklahoma,SMU,5
253,305,New Haven,Rhode Island,12,10,,New Haven,Rhode Island,2
254,305,North Texas,Houston,9,8,,North Texas,Houston,1
255,305,Colorado State,Minnesota,9,8,,Colorado State,Minnesota,1
256,305,Idaho,Washington State,7,8,,Washington State,Idaho,1
257,306,Arizona,Utah State,12,2,,Arizona,Utah State,10
258,306,Grand Canyon,Brigham Young,7,13,,Brigham Young,Grand Canyon,6
259,306,Arizona State,Virginia Tech,10,9,,Arizona State,Virginia Tech,1
260,307,Dallas Baptist,North Texas,9,10,,North Texas,Dallas Baptist,1
261,308,Utah Valley,Arizona State,9,20,,Arizona State,Utah Valley,11
262,308,Chapman,Dominican U.,12,3,,Chapman,Dominican U.,9
263,308,Arizona,Virginia Tech,4,13,,Virginia Tech,Arizona,9
264,309,Rhode Island,Southern Conn. State,17,7,N,Rhode Island,Southern Conn. State,10
265,309,Northern Arizona,Utah State,11,10,,Northern Arizona,Utah State,1
266,310,Grand Canyon,Utah State,24,2,,Grand Canyon,Utah State,22
267,310,Kansas State,Pittsburg State,19,1,,Kansas State,Pittsburg State,18
268,310,South Florida,Florida State,3,18,,Florida State,South Florida,15
269,310,Washington,Western Washington,15,3,,Washington,Western Washington,12
270,310,Purdue,Miami (OH),6,15,,Miami (OH),Purdue,9
271,310,California,Santa Clara,18,10,,California,Santa Clara,8
272,310,Oregon,Simon Fraser,15,8,,Oregon,Simon Fraser,7
273,310,Central Florida,Louisiana State,11,6,,Central Florida,Louisiana State,5
274,310,Nevada,Boise State,9,13,,Boise State,Nevada,4
275,310,Missouri,Missouri State,7,4,,Missouri,Missouri State,3
276,310,Utah,Arizona State,11,14,,Arizona State,Utah,3
277,310,Georgia Tech,Davenport,9,7,,Georgia Tech,Davenport,2
278,310,Oregon State,SMU,9,7,,Oregon State,SMU,2
279,310,Cal Poly,Colorado,4,5,,Colorado,Cal Poly,1
280,310,Mississippi,Auburn,9,8,,Mississippi,Auburn,1
281,310,UC Santa Barbara,Colorado State,6,5,,UC Santa Barbara,Colorado State,1
282,311,Nebraska,Texas State,2,18,N,Texas State,Nebraska,16
283,311,South Florida,Louisiana State,6,16,,Louisiana State,South Florida,10
284,311,Stanford,Boise State,7,15,N,Boise State,Stanford,8
285,311,George Washington,Sonoma State,1,8,N,Sonoma State,George Washington,7
286,311,UCLA,Dominican U.,8,14,,Dominican U.,UCLA,6
287,311,Davenport,Connecticut,9,13,N,Connecticut,Davenport,4
288,311,Chapman,Brigham Young,10,7,,Chapman,Brigham Young,3
289,311,Auburn,Arkansas,11,13,N,Arkansas,Auburn,2
290,311,Texas,Alabama,11,13,,Alabama,Texas,2
291,311,Clemson,Elon,7,6,,Clemson,Elon,1
292,311,San Diego State,Arizona,6,7,,Arizona,San Diego State,1
293,311,Oregon,SMU,11,12,,SMU,Oregon,1
294,312,Houston,Alabama,1,15,,Alabama,Houston,14
295,312,Nevada,Stanford,3,15,,Stanford,Nevada,12
296,312,Miami (OH),Illinois,16,5,,Miami (OH),Illinois,11
297,312,Simon Fraser,SMU,18,12,N,Simon Fraser,SMU,6
298,312,UC Santa Barbara,Colorado,8,13,,Colorado,UC Santa Barbara,5
299,312,Cal Poly,Colorado State,15,10,,Cal Poly,Colorado State,5
300,312,Kansas,Texas State,8,11,,Texas State,Kansas,3
301,312,Georgia Tech,Connecticut,10,7,,Georgia Tech,Connecticut,3
302,312,UNLV,Arizona State,11,12,,Arizona State,UNLV,1
303,312,Rhode Island,Central Conn. State,11,10,N,Rhode Island,Central Conn. State,1
304,312,New Hampshire,Sonoma State,13,14,N,Sonoma State,New Hampshire,1
