Game#,Date,Home Team,Away Team,Home Score,Away Score,N/CT/NT,Winning Team,Losing Team,Margin
394,326,North Texas,CSU San Marcos,4,11,,CSU San Marcos,North Texas,7
395,326,Purdue,Davenport,11,16,,Davenport,Purdue,5
396,326,Charleston,East Carolina,11,15,,East Carolina,Charleston,4
397,326,Alabama,Vanderbilt,15,11,,Alabama,Vanderbilt,4
398,326,West Virginia,Rhode Island,10,9,,West Virginia,Rhode Island,1
399,326,Indiana,Western Michigan,9,8,,Indiana,Western Michigan,1
400,327,Connecticut,New Haven,24,12,,Connecticut,New Haven,12
401,327,Claremont,Santa Clara,7,12,,Santa Clara,Claremont,5
402,328,Chico State,Cal Poly,3,6,,Cal Poly,Chico State,3
403,329,Utah State,Utah,9,16,,Utah,Utah State,7
404,329,Chico State,Western Oregon,10,4,,Chico State,Western Oregon,6
405,329,Sonoma State,UC Santa Barbara,12,9,,Sonoma State,UC Santa Barbara,3
406,329,Claremont,USC,8,9,,USC,Claremont,1
407,330,Nevada,Cal Poly,3,22,,Cal Poly,Nevada,19
408,330,Western Michigan,Davenport,4,16,N,Davenport,Western Michigan,12
409,330,Colorado State,Utah Valley,15,5,,Colorado State,Utah Valley,10
410,331,Minnesota,Central Michigan,17,6,,Minnesota,Central Michigan,11
411,331,Louisiana State,Arkansas,17,7,,Louisiana State,Arkansas,10
412,331,Texas,Houston,17,7,,Texas,Houston,10
413,331,West Virginia,George Washington,3,13,N,George Washington,West Virginia,10
414,331,North Carolina State,Purdue,13,6,N,North Carolina State,Purdue,7
415,331,Clemson,East Carolina,13,7,,Clemson,East Carolina,6
416,331,Colorado,Georgia Tech,18,13,,Colorado,Georgia Tech,5
417,331,Alabama,Mississippi,12,7,,Alabama,Mississippi,5
418,331,Virginia Tech,Boston College,9,5,N,Virginia Tech,Boston College,4
419,331,Liberty,Florida State,11,7,,Liberty,Florida State,4
420,331,Pittsburgh,South Carolina,9,6,N,Pittsburgh,South Carolina,3
421,331,Iowa State,St. Cloud State,12,9,,Iowa State,St. Cloud State,3
422,331,Grand Canyon,Arizona State,9,7,,Grand Canyon,Arizona State,2
423,331,Georgia,Auburn,9,10,,Auburn,Georgia,1
